timecode,seconds,dur_ms,L_drop_dB,R_drop_dB,channels
42:39.136,2559.136,32.0,-20.5,-54.2,asymmetric
42:46.666,2566.666,19.0,-28.0,-34.7,both
42:46.858,2566.858,38.0,-27.1,-27.9,both
42:52.341,2572.341,16.0,-27.6,-28.4,both
42:58.901,2578.901,32.0,-24.4,-42.6,asymmetric
42:59.861,2579.861,10.0,-24.0,-38.7,asymmetric
43:00.096,2580.096,45.0,-25.9,-39.0,both
43:01.184,2581.184,74.0,-37.6,-22.9,asymmetric
43:01.803,2581.803,92.0,-29.2,-33.1,both
43:01.952,2581.952,100.0,-30.7,-23.2,asymmetric
43:13.771,2593.771,6.0,-26.1,-32.3,both
43:15.253,2595.253,4.0,-32.7,-37.0,both
43:45.056,2625.056,38.0,-42.4,-27.9,both
43:45.579,2625.579,18.0,-43.9,-33.0,both
43:59.200,2639.2,6.0,-46.4,-29.9,both
44:02.166,2642.166,6.0,-20.4,-35.5,asymmetric
44:11.734,2651.734,115.0,-20.2,-35.5,asymmetric
44:15.371,2655.371,59.0,-34.9,-26.0,both
44:20.054,2660.054,98.0,-20.2,-40.9,asymmetric
44:29.110,2669.11,44.0,-38.5,-35.7,both
45:56.288,2756.288,68.0,-26.3,-25.3,both
46:21.963,2781.963,40.0,-26.6,-31.2,both
46:31.595,2791.595,14.0,-25.5,-38.2,both
46:32.790,2792.79,10.0,-39.6,-20.2,asymmetric
46:44.161,2804.161,24.0,-45.1,-29.5,both
46:45.387,2805.387,31.0,-22.5,-44.6,asymmetric
46:54.166,2814.166,27.0,-47.5,-28.1,both
46:54.454,2814.454,28.0,-39.7,-22.2,asymmetric
47:10.305,2830.305,5.0,-37.4,-28.5,both
47:29.206,2849.206,11.0,-42.3,-49.3,both
47:34.881,2854.881,6.0,-34.2,-26.0,both
47:56.524,2876.524,22.0,-39.2,-31.8,both
48:06.902,2886.902,13.0,-28.2,-22.7,asymmetric
48:11.457,2891.457,10.0,-19.3,-39.8,asymmetric
48:37.825,2917.825,10.0,-38.2,-22.1,asymmetric
48:50.870,2930.87,5.0,-41.5,-30.8,both
49:08.246,2948.246,14.0,-23.5,-41.4,asymmetric
49:29.921,2969.921,14.0,-25.5,-47.5,both
49:33.473,2973.473,11.0,-31.2,-29.7,both
50:04.556,3004.556,9.0,-28.2,-49.0,both
50:07.841,3007.841,5.0,-36.8,-22.5,asymmetric
51:06.785,3066.785,23.0,-25.7,-41.0,both
51:10.529,3070.529,7.0,-38.3,-33.5,both
51:10.551,3070.551,7.0,-33.7,-33.3,both
51:10.668,3070.668,9.0,-34.8,-21.8,asymmetric
51:10.700,3070.7,6.0,-31.6,-22.8,asymmetric
51:10.743,3070.743,10.0,-42.9,-32.8,both
51:11.458,3071.458,8.0,-30.3,-28.4,both
51:45.004,3105.004,6.0,-34.6,-49.9,both
51:49.421,3109.421,4.0,-41.4,-38.5,both
52:00.215,3120.215,3.0,-31.7,-26.6,both
52:04.994,3124.994,6.0,-21.6,-43.9,asymmetric
52:09.677,3129.677,16.0,-31.7,-38.0,both
52:23.245,3143.245,37.0,-24.5,-29.4,asymmetric
52:34.274,3154.274,23.0,-27.2,-25.7,both
52:48.376,3168.376,8.0,-33.8,-25.8,both
53:07.288,3187.288,4.0,-31.8,-21.7,asymmetric
53:23.298,3203.298,19.0,-22.3,-36.6,asymmetric
53:24.066,3204.066,3.0,-45.1,-30.3,both
53:25.485,3205.485,7.0,-31.5,-38.3,both
53:26.851,3206.851,4.0,-38.5,-30.5,both
53:26.925,3206.925,16.0,-24.0,-30.5,asymmetric
53:28.867,3208.867,24.0,-24.7,-34.7,asymmetric
53:29.955,3209.955,7.0,-27.1,-31.9,both
53:31.811,3211.811,6.0,-44.0,-41.6,both
53:46.872,3226.872,4.0,-34.9,-30.8,both
54:21.603,3261.603,35.0,-22.6,-36.5,asymmetric
54:26.467,3266.467,4.0,-24.5,-35.9,asymmetric
54:41.262,3281.262,17.0,-42.2,-25.8,both
54:45.070,3285.07,23.0,-19.3,-21.3,asymmetric
54:57.155,3297.155,49.0,-41.6,-19.0,asymmetric
54:59.353,3299.353,70.0,-22.6,-26.9,asymmetric
55:05.859,3305.859,9.0,-36.5,-25.0,both
55:47.918,3347.918,13.0,-20.6,-36.4,asymmetric
56:00.153,3360.153,6.0,-31.9,-25.3,both
56:07.278,3367.278,5.0,-28.8,-26.8,both
56:09.124,3369.124,27.0,-32.8,-23.3,asymmetric
56:09.294,3369.294,12.0,-35.4,-26.0,both
56:17.881,3377.881,13.0,-33.9,-29.1,both
56:29.060,3389.06,46.0,-38.5,-27.8,both
57:10.201,3430.201,66.0,-39.0,-22.7,asymmetric
57:16.836,3436.836,18.0,-27.8,-24.3,asymmetric
57:19.140,3439.14,71.0,-30.2,-37.9,both
58:28.975,3508.975,48.0,-39.0,-23.1,asymmetric
58:53.263,3533.263,77.0,-25.0,-26.0,asymmetric
58:54.148,3534.148,40.0,-44.3,-21.6,asymmetric
59:03.097,3543.097,14.0,-27.7,-52.5,both
59:30.713,3570.713,83.0,-24.1,-32.5,asymmetric
59:32.953,3572.953,4.0,-30.2,-32.2,both
60:34.415,3634.415,3.0,-31.7,-32.5,both
60:34.799,3634.799,3.0,-35.0,-36.1,both
60:38.820,3638.82,6.0,-33.0,-32.8,both
60:40.879,3640.879,18.0,-37.4,-26.7,both
60:46.415,3646.415,4.0,-28.7,-32.4,both
60:48.015,3648.015,35.0,-27.7,-30.0,both
60:48.218,3648.218,6.0,-21.3,-33.1,asymmetric
60:49.189,3649.189,33.0,-41.0,-31.7,both
60:51.514,3651.514,16.0,-47.1,-38.8,both
60:58.746,3658.746,4.0,-44.8,-37.7,both
61:08.847,3668.847,18.0,-24.3,-34.9,asymmetric
61:12.741,3672.741,22.0,-41.1,-22.8,asymmetric
61:16.431,3676.431,24.0,-23.3,-26.7,asymmetric
61:19.642,3679.642,17.0,-24.4,-38.9,asymmetric
61:29.242,3689.242,19.0,-31.7,-31.0,both
61:33.360,3693.36,14.0,-43.1,-46.1,both
61:34.789,3694.789,20.0,-33.0,-20.1,asymmetric
61:36.954,3696.954,24.0,-27.6,-21.9,asymmetric
61:37.872,3697.872,9.0,-30.9,-29.8,both
61:48.933,3708.933,31.0,-34.6,-22.8,asymmetric
61:57.488,3717.488,26.0,-39.2,-20.1,asymmetric
62:05.349,3725.349,31.0,-28.7,-27.9,both
62:30.619,3750.619,6.0,-27.8,-35.2,both
62:41.403,3761.403,7.0,-50.2,-42.9,both
63:07.430,3787.43,114.0,-26.6,-37.4,both
63:16.539,3796.539,15.0,-28.3,-32.3,both
63:54.086,3834.086,6.0,-23.9,-46.3,asymmetric
64:00.593,3840.593,30.0,-26.7,-26.6,both
